full_name,address,state_abbr,website,phone,display_name
New York State Education Department,"89 Washington Avenue, Albany, 12234",NY,http://www.nysed.gov/,(518) 474-3852,New York
North Carolina Department of Public Instruction,"301 North Wilmington Street, Raleigh, 27601",NC,http://www.ncpublicschools.org/,(984)236-2100,North Carolina
North Dakota Department of Public Instruction,"600 East Boulevard Avenue, Bismarck, 58505-0440",ND,https://www.dpi.state.nd.us,(701) 328-2260,North Dakota
CNMI Public School System,"1211 Rte 31, Capitol Hill, Saipan, 96950",MP,https://www.cnmipss.org/,(670) 237-3027,Northern Mariana Islands
Ohio Department of Education,"25 South Front Street, Columbus, 43215-4183",OH,http://www.ode.state.oh.us/,(877) 644-6338,Ohio
Oklahoma State Department of Education,"2500 North Lincoln Boulevard, Oklahoma City, 73105-4599",OK,http://www.ok.gov/sde/,(405) 521-3308,Oklahoma
Oregon Department of Education,"255 Capitol Street, NE, Salem, 97310-0203",OR,http://www.oregon.gov/ode/Pages/default.aspx,(503) 947-5600,Oregon
Pennsylvania Department of Education,"607 South Drive, Harrisburg, 17120",PA,http://www.education.pa.gov/,(717) 783-6788,Pennsylvania
Council on Education of Puerto Rico,"Ave. Ponce de Leon 268, San Juan, 00919-0759",PR,https://de.pr.gov,787-759-2000,Puerto Rico
Republic of Palau National Government,"Main Street Box 189, Koror, 96940-0189",PW,http://www.palaumoe.net,(680) 488-6425,Republic of Palau
Republic of the Marshall Islands,N/A,MH,https://pss.edu.mh/,(692) 625-5261,Republic of the Marshall Islands
Rhode Island Department of Education,"255 Westminster Street, Providence, 02903-3400",RI,http://www.ride.ri.gov/,(401) 222-4600,Rhode Island
South Carolina Department of Education,"849 Learning Lane, West Columbia, 29172",SC,http://ed.sc.gov/,(803) 734-8500,South Carolina
South Dakota Department of Education,"800 Governors Drive, Pierre, 57501-2291",SD,http://doe.sd.gov/,(605) 773-3134,South Dakota
Tennessee State Department of Education,"710 James Robertson Parkway, Nashville, 37243-0375",TN,https://www.tn.gov/education,615-741-5158,Tennessee
Texas Education Agency,"1701 North Congress Avenue, Austin, 78701-1494",TX,http://www.tea.state.tx.us/,(512) 463-9734,Texas
Utah State Office of Education,"250 East 500 South, Salt Lake City, 84114-4200",UT,http://www.schools.utah.gov,(801) 538-7500,Utah
Vermont Agency of Education,"1 National Life Drive, Montpelier, 5620-2501",VT,http://www.education.vermont.gov/,(802) 828-1130,Vermont
U.S. Virgin Islands Department of Education,"21-33 Hospital St. (St. Croix), St. Thomas, 00802",VI,http://www.vide.vi/,340-774-0100,Virgin Islands
Virginia Department of Education,"Tenth Floor, Richmond, 23218",VA,http://www.doe.virginia.gov/,(804) 292-3820,Virginia
Office of Superintendent of Public Instruction,"600 South Washington, Olympia, 98504-7200",WA,http://www.k12.wa.us/,(360) 725-6000,Washington
West Virginia Department of Education,"1900 Kanawha Boulevard East, Charleston, 25305-0330",WV,https://wvde.us/,(833) 627-2833,West Virginia
Wisconsin Department of Public Instruction,"125 South Webster Street, Madison, 53707-7841",WI,http://dpi.wi.gov/,(608) 266-3390,Wisconsin
Wyoming Department of Education,"122 West 25th Street, Cheyenne, 82002",WY,http://edu.wyoming.gov/,(307) 777-7675,Wyoming
